Ref,Value,Value,Symbol
F1,Resettable Fuse,Resettable Fuse,Device:Fuse
D1,USB ESD Protection,USB ESD Protection,Protection:*
J1,USB_C_Receptacle,USB_C_Receptacle,Connector:USB_C_Receptacle
U1,TPS62162,TPS62163,Custom:TPS62162
L1,2.2 uH,2.2 uH,Device:L
"R1, R2",5.1 kΩ,5.1 kΩ,Device:R
R3,100 kΩ,101 kΩ,Device:R
C1,10 uF,11 uF,Device:C
C2,100 nF,101 nF,Device:C
U2,CP2102N-A02-GQFN20,CP2102N-A02-GQFN21,Interface_USB:CP2102N
R4,1 kΩ,2 kΩ,Device:R
"C5, C7",4.7 uF,4.7 uF,Device:C
"C6, C8, C9, C11, C12, C15, C16",100 nF,101 nF,Device:C
U3,ESP32-WROOM-32E-N8,ESP32-WROOM-32E-N9,RF_Module:ESP32-WROOM-32
C10,10 uF,11 uF,Device:C
"R5, R6",10 kΩ,11 kΩ,Device:R
"R7, R8",4.7 kΩ,4.7 kΩ,Device:R
U4,BME280,BME281,Sensor:BME280
U5,BH1750FVI,BH1750FVI,EMS_Symbols:BH1750FVI
U6,DS3231SN#,DS3231SN#,Timer_RTC:DS3231
BT1,Keystone 1060 CR2032 Holder,Keystone 1060 CR2032 Holder,Battery:Battery_Cell
J3,Micro_SD_Card_Det1,Micro_SD_Card_Det2,Connector:Micro_SD_Card_Det1
R11,10 kΩ,11 kΩ,Device:R
J4,Conn_01x04,Conn_01x05,Connector:Conn_01x04
LED1,Green LED,Green LED,Device:LED
R12,330 Ω,331 Ω,Device:R
J6,Conn_01x06,Conn_01x07,Connector:Conn_01x06
